"name","location","system","gispropnum","approx_date_closed","approx_date_reopened","editdate","status","district","closuretype","geometry","fac_type","duration_closed"
"Mosholu Playground","Mosholu Parkway South bet. Bainbridge Ave. and Briggs Ave.","X197-CPA-0001","X197",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-07","Completely Locked",c(-73.8829685965946, 40.872790033431),"Playground",11.7142857142857
"Greenpoint Playground","Franklin St. bet. Commerical St. and Dupoint St.","B043-CPA-0001","B043",2020-03-31,2020-06-21,2020-06-22,"Reopened","B-01","Completely Locked",c(-73.9589379642143, 40.7358070775331),"Playground",11.7142857142857
"Strong Street Plgd","Strong St, Reservoir Ave","X038-CPA-0001","X038",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-08","Not Lockable",c(-73.8981487856322, 40.8714254664035),"Playground",11.7142857142857
"Walker Park","Delafield Pl., Bard Ave., and Davis Ave.","R015-CPA-0001","R015",2020-03-31,2020-06-22,2020-06-22,"Reopened","R-01","Completely Locked",c(-74.1104473778837, 40.6436703644333),"Playground",11.8571428571429
"CPF Plgd","N/o W 172 St By Pool","M037-CPA-0003","M037",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-12A","Completely Locked",c(-73.9338848591098, 40.8419669818224),"Playground",11.7142857142857
"Rockaway Playground - M","B 84 St & Shore Front Pkwy (W/o B 84 St)","Q163-CPA-0001","Q163",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-14","Completely Locked",c(-73.8098706965374, 40.5849811331831),"Playground",11.7142857142857
"Telephone Playground","75 Ave. bet. Bell Blvd. and 217 St.","Q349-CPA-0001","Q349",2020-03-31,2020-06-23,2020-06-23,"Reopened","Q-11","Completely Locked",c(-73.7564904706052, 40.7386431649718),"Playground",12
"Col. Young Playground","W. 145 St. to W. 143 St., Lenox Ave., and Harlem River","M186-CPA-0001","M186",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-10","Partially Locked",c(-73.9364169451117, 40.8194129176627),"Playground",11.7142857142857
"Nelson Playground","W 166 St bet. Woodycrest Av and Nelson Av","X168-CPA-0001","X168",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-04","Completely Locked",c(-73.9266817904283, 40.8350837652481),"Playground",11.7142857142857
"Vinmont Veteran Park","W. 254 St. bet. Riverdale Ave. and Mosholu Ave.","X152-CPA-0001","X152",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-08","Completely Locked",c(-73.9048441058961, 40.9020624409297),"Playground",11.7142857142857
"Arrochar Playground","Sand La., Major Ave. and Mcfarland Ave.","R062-CPA-0001","R062",2020-03-31,2020-06-22,2020-06-22,"Reopened","R-02","Completely Locked",c(-74.0712301207726, 40.5977095621981),"Playground",11.8571428571429
"Latimer Playground","167 St. bet. 108 Dr. and 109 Ave.","Q402-CPA-0001","Q402",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-12","Not Lockable",c(-73.7857978421815, 40.6965383106663),"Playground",11.7142857142857
"Triborough Bridge Playground B","Hoyt Ave. bet. 21 St. and 23 St.","Q066B-CPA-0001","Q066B",2020-03-31,2020-06-22,2020-06-22,"Reopened","Q-01","Completely Locked",c(-73.9232451491887, 40.7745095527306),"Playground",11.8571428571429
"Pratt Playground","Willoughby Ave. between Stuben St. and Emerson Pl.","B292-CPA-0001","B292",2020-03-31,2020-06-23,2020-06-24,"Reopened","B-02","Completely Locked",c(-73.9624985052906, 40.6925208566984),"Playground",12
"Ditmars Playground","Steinway St. bet. 23 Ave. and Ditmars Blvd.","Q385-CPA-0001","Q385",2020-03-31,2020-06-22,2020-06-22,"Reopened","Q-01","Completely Locked",c(-73.907434959676, 40.7713738452906),"Playground",11.8571428571429
"Jennie Jerome Playground","Jerome Av bet. E 174 St and the Cross Bronx Exwy Entrance Ramp","X148C5-CPA-0001","X148C5",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-05","Completely Locked",c(-73.9134755798452, 40.8455195276501),"Playground",11.7142857142857
"Middle Village Playground","79 St. bet. 68 Rd. and 69 Ave.","Q101-CPA-0001","Q101",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-05","Completely Locked",c(-73.8736981556961, 40.7102821768891),"Playground",11.7142857142857
"Greenwood Playground","Ft Hamilton Pkwy., Prospect Ave., Greenwood Ave.","B130-CPA-0001","B130",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-07","Completely Locked",c(-73.9765189986972, 40.650716738126),"Playground",11.8571428571429
"Marie Curie Playground","46 Ave., 46 Rd. bet. Oceania St. and 211 St.","Q364-CPA-0001","Q364",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-11","Partially Locked",c(-73.7714964874183, 40.7572449668244),"Playground",11.7142857142857
"Cherry Clinton Playground",NA,NA,"M171",2020-03-31,2020-06-19,2020-06-19,"Reopened","M-03","Completely Locked",c(-73.9862472690001, 40.7113157341098),"Playground",11.4285714285714
"Banneker Playground","Macy Ave. bet. Lafayette Ave. and Kosciuszko St.","B140-CPA-0001","B140",2020-03-31,2020-06-22,2020-06-23,"Reopened","B-03","Completely Locked",c(-73.9485109735102, 40.6905694612399),"Playground",11.8571428571429
"Bay 8 Playground","Cropsey & Bay 8","B028-CPA-0001","B028",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-10","Completely Locked",c(-74.0161980178999, 40.6067895174087),"Playground",11.8571428571429
"Dome Playground","Dahill Rd. bet. 37 St. and 38 St.","B151-CPA-0001","B151",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-12","Partially Locked",c(-73.9806318908037, 40.6384482271899),"Playground",11.8571428571429
"Reiff Playground","59 Dr. bet. Fresh Pond Rd. and 63 St.","Q423-CPA-0001","Q423",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-05","Completely Locked",c(-73.9017597169758, 40.7190410278577),"Playground",11.7142857142857
"Tot Lot One Hundred And Ten","W 110-111 Sts, Riverside Dr","M071-CPA-0010","M071",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-14","Completely Locked",c(-73.9686439431837, 40.8051439650503),"Playground",11.7142857142857
"St. Gregory's Playground","W. 90 St. bet. Amsterdam Ave. and Columbus Ave.","M301-CPA-0001","M301",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-07","Completely Locked",c(-73.9718683254439, 40.7895469500732),"Playground",11.7142857142857
"Olinville Playground","E 219 St, Bronx River Parkway","X004-CPA-0002","X004",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-14","Completely Locked",c(-73.8669730595632, 40.8840857086566),"Playground",11.7142857142857
"Cobble Hill Park","Clinton St. between Verandah Pl. and Congress St.","B326-CPA-0001","B326",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-06","Not Lockable",c(-73.9964407549974, 40.6883414039879),"Playground",11.8571428571429
"Bleecker Playground","Hudson St., Bleecker St. and 8 Ave.","M251-CPA-0001","M251",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-02","Completely Locked",c(-74.0054569195902, 40.7363336043277),"Playground",11.7142857142857
"Houston St Plgd","E Houston To Stanton Sts","M105-CPA-0001","M105",2020-03-31,2020-06-19,2020-06-19,"Reopened","M-03","Completely Locked",c(-73.9909851087688, 40.722753049872),"Playground",11.4285714285714
"North Pacific Playground","Pacific St. between Nevins St. and 3 Ave.","B356-CPA-0001","B356",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-02","Completely Locked",c(-73.9820901055651, 40.6852260784754),"Playground",11.8571428571429
"Morningside Park","Morningside Dr & 110 St","M056-CPA-0004","M056",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-09","Partially Locked",c(-73.9599319433674, 40.8019258985492),"Playground",11.7142857142857
"Josephine Caminiti Playground","102 St. bet. Corona Ave. and Alstyne Ave.","Q046-CPA-0001","Q046",2020-03-31,2020-06-19,2020-06-19,"Reopened","Q-04","Completely Locked",c(-73.8615216222771, 40.7440089800954),"Playground",11.4285714285714
"Ben Abrams Playground","Lydig Ave, Bronx Pk E","X002-CPA-0001","X002",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-14","Not Lockable",c(-73.8701593339941, 40.854486519922),"Playground",11.7142857142857
"Playground One Twenty Five CXXV","Morningside Ave., W. 123 St. and W. 124 St.","M205-CPA-0001","M205",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-09","Completely Locked",c(-73.9556634398606, 40.8109238083556),"Playground",11.7142857142857
"Saturn Playground","Behind Tennis Center","Q099-CPA-0007","Q099",2020-03-31,2020-06-19,2020-06-19,"Reopened","Q-15","Completely Locked",c(-73.8430996646269, 40.7490515361933),"Playground",11.4285714285714
"Marconi Park","157 St., 155 St. bet. 108 Ave. and 109 Ave.","Q127-CPA-0001","Q127",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-12","Partially Locked",c(-73.7958511227682, 40.6931724968894),"Playground",11.7142857142857
"Real Good Playground","Horace Harding Exwy. Sr. Rd. S., 62 Ave. bet. 99 St. and 102 St.","Q357B-CPA-0001","Q357B",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-06","Completely Locked",c(-73.8575372503597, 40.7354953853876),"Playground",11.7142857142857
"Chelsea Park","9 Av To 10 Av, W 27 St To W 28 St","M011-CPA-0001","M011",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-04","Partially Locked",c(-74.0002123205747, 40.7495884020727),"Playground",11.7142857142857
"Lt. Lia Playground","Wall St. bet. St Marks Pl. and Belmont Pl.","R111-CPA-0001","R111",2020-03-31,2020-06-22,2020-06-22,"Reopened","R-01","Not Lockable",c(-74.0798161494858, 40.6436063533841),"Playground",11.8571428571429
"Marcy Playground","Myrtle Ave. bet. Nostrand Ave. and Marcy Ave.","B217-CPA-0001","B217",2020-03-31,2020-06-22,2020-06-23,"Reopened","B-03","Completely Locked",c(-73.9498835454495, 40.6956139378698),"Playground",11.8571428571429
"Seaside Wildlife Nature Playground",NA,NA,"R145",2020-03-31,2020-06-22,2020-06-22,"Reopened","R-03","Not Lockable",c(-74.1427126307055, 40.5415324425494),"Playground",11.8571428571429
"Sunset Park Playground","6 Ave Bet 41 & 44 Sts","B087-CPA-0001","B087",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-07","Completely Locked",c(-74.0045795678363, 40.6476785065633),"Playground",11.8571428571429
"Saratoga Park","Halsey St. bet. Howard Ave. and Saratoga Ave.","B079-CPA-0001","B079",2020-03-31,2020-06-22,2020-06-23,"Reopened","B-03","Partially Locked",c(-73.9194524195225, 40.6849275414053),"Playground",11.8571428571429
"Bayswater Playground-Handball-03","Bayswater Park","Q007-01-HANDBALL-5","Q007",2020-04-06,2020-07-06,2020-08-12,"Reopened","Q-14","Blocked with Barricade",list(c(-73.7672088235678, -73.7671490420046, -73.7670218938995, -73.7670815161434, -73.7672088235678, 40.5995159327396, 40.599593707984, 40.5995378905705, 40.5994604320537, 40.5995159327396)),"Athletic ",13
"Bayswater Playground-Handball-04","Bayswater Park","Q007-01-HANDBALL-4","Q007",2020-04-06,2020-07-06,2020-08-12,"Reopened","Q-14","Blocked with Barricade",list(c(-73.7674404473021, -73.7673844853194, -73.7672507420474, -73.7673058656175, -73.7674404473021, 40.5994443605528, 40.5995198626177, 40.5994607469907, 40.5993865130335, 40.5994443605528)),"Athletic ",13
"Sunken Plgd-Handball-01","Highbridge Park","M037-01-HANDBALL-3","M037",2020-04-05,2020-07-06,2020-08-12,"Reopened","M-12A","Fully Locked",list(c(-73.9364342581724, -73.9364048541467, -73.9362552468263, -73.9362869740472, -73.9364342581724, 40.8374052360978, 40.837471835723, 40.8374302700844, 40.8373645371548, 40.8374052360978)),"Athletic ",13.1428571428571
"Sunken Plgd-Handball-03","Highbridge Park","M037-01-HANDBALL-2","M037",2020-04-05,2020-07-06,2020-08-12,"Reopened","M-12A","Fully Locked",list(c(-73.9363753062727, -73.9363442074108, -73.9361956201595, -73.9362247911247, -73.9363753062727, 40.8375412538064, 40.8376057957517, 40.8375660126771, 40.8375003747048, 40.8375412538064)),"Athletic ",13.1428571428571
"Grand St-Handball-03","Sara D. Roosevelt Park","M105-08-HANDBALL-4","M105",2020-04-01,2020-07-06,2020-08-12,"Reopened","M-03","Fully Locked",list(c(-73.9935767497217, -73.9935402571998, -73.9933818143167, -73.9934189719978, -73.9935767497217, 40.7177637551675, 40.7178317758493, 40.7177812896633, 40.7177144793548, 40.7177637551675)),"Athletic ",13.7142857142857
"Grand St-Handball-04","Sara D. Roosevelt Park","M105-08-HANDBALL-3","M105",2020-04-01,2020-07-06,2020-08-12,"Reopened","M-03","Fully Locked",list(c(-73.9934189719978, -73.9934567569866, -73.9936137286874, -73.9935767497217, -73.9934189719978, 40.7177144793548, 40.7176465353272, 40.7176948267865, 40.7177637551675, 40.7177144793548)),"Athletic ",13.7142857142857
"Brookville Playground-Handball-02","Brookville Park","Q008-01-HANDBALL-2","Q008",2020-04-05,2020-07-06,2020-08-12,"Reopened","Q-13","Taped Off",list(c(-73.7411291699802, -73.7410614384608, -73.7409608750503, -73.7410286078862, -73.7411291699802, 40.6637648581184, 40.6638734326626, 40.6638372610961, 40.6637286848123, 40.6637648581184)),"Athletic ",13.1428571428571
"Detective K.L. Williams Playground-Handball-03","Detective Keith L Williams Park","Q121-02-HANDBALL-3","Q121",2020-04-06,2020-07-07,2020-08-12,"Reopened","Q-12","Temporary Fencing",list(c(-73.785213117042, -73.7850655413622, -73.7850058613843, -73.7851584530699, -73.785213117042, 40.7041691347636, 40.7042245344877, 40.7041377260163, 40.7040822735954, 40.7041691347636)),"Athletic ",13.1428571428571
"Rufus King Park-Handball-01","Rufus King Park","Q023-01-HANDBALL-2","Q023",2020-04-06,2020-07-07,2020-08-12,"Reopened","Q-12","Blocked with Barricade",list(c(-73.8034269822491, -73.8034765968611, -73.803370663932, -73.8033210494679, -73.8034269822491, 40.704290075549, 40.7043963767778, 40.7044246485005, 40.7043183472263, 40.704290075549)),"Athletic ",13.1428571428571
"Detective K.L. Williams Playground-Handball-01","Detective Keith L Williams Park","Q121-02-HANDBALL-2","Q121",2020-04-06,2020-07-07,2020-08-12,"Reopened","Q-12","Temporary Fencing",list(c(-73.7852702047865, -73.7851212109079, -73.7850655413622, -73.785213117042, -73.7852702047865, 40.7042515131635, 40.7043052245501, 40.7042245344877, 40.7041691347636, 40.7042515131635)),"Athletic ",13.1428571428571
"Roy Wilkins Park-Handball-04","Roy Wilkins Recreation Center","Q448-99-HANDBALL-6","Q448",2020-04-06,2020-07-07,2020-08-12,"Reopened","Q-12","Temporary Fencing",list(c(-73.7699301611608, -73.7700177384701, -73.7698997792442, -73.7698097961317, -73.7699301611608, 40.6852120862386, 40.6852626965526, 40.6853800655384, 40.6853283102686, 40.6852120862386)),"Athletic ",13.1428571428571
"Roy Wilkins Park-Handball-02","Roy Wilkins Recreation Center","Q448-99-HANDBALL-5","Q448",2020-04-06,2020-07-07,2020-08-12,"Reopened","Q-12","Temporary Fencing",list(c(-73.7697989630385, -73.7698997792442, -73.7699741361707, -73.7698733176502, -73.7697989630385, 40.6854810072505, 40.6853800655384, 40.6854227285014, 40.6855236693728, 40.6854810072505)),"Athletic ",13.1428571428571
"Roy Wilkins Park-Handball-01","Roy Wilkins Recreation Center","Q448-99-HANDBALL-4","Q448",2020-04-06,2020-07-07,2020-08-12,"Reopened","Q-12","Temporary Fencing",list(c(-73.7699741361707, -73.7700639513156, -73.7699631328496, -73.7698733176502, -73.7699741361707, 40.6854227285014, 40.6854766121278, 40.6855775530772, 40.6855236693728, 40.6854227285014)),"Athletic ",13.1428571428571
"Horatio Playground-Handball-04","Alley Pond Park","Q001-04-HANDBALL-2","Q001",2020-04-05,2020-07-06,2020-08-12,"Reopened","Q-11","Blocked with Barricade",list(c(-73.7542711229405, -73.7544334863397, -73.7544394818676, -73.7542772794113, -73.7542711229405, 40.7586480794661, 40.7586417304054, 40.7587439896079, 40.7587515871253, 40.7586480794661)),"Athletic ",13.1428571428571
"Wild Flower Meadow-Handball-06","Alley Pond Park","Q001-01-HANDBALL-4","Q001",2020-04-05,2020-07-06,2020-08-12,"Reopened","Q-11","Blocked with Barricade",list(c(-73.7417138204141, -73.7418013640704, -73.7418398044936, -73.7417497269244, -73.7417138204141, 40.743119137885, 40.7431036589871, 40.743222850313, 40.7432398634317, 40.743119137885)),"Athletic ",13.1428571428571
"Underhill Playground-Handball-04","Kissena Corridor Park","Q300A-01-HANDBALL-3","Q300A",2020-04-05,2020-07-06,2020-08-12,"Reopened","Q-11","Taped Off",list(c(-73.7870184456882, -73.7869529621414, -73.7868657942925, -73.7869312779769, -73.7870184456882, 40.7446176688416, 40.7447448356228, 40.7447183965874, 40.7445912307558, 40.7446176688416)),"Athletic ",13.1428571428571
"Four Winds Playground-Handball-03","Kissena Park","Q024-03-HANDBALL-4","Q024",2020-04-02,2020-07-07,2020-08-12,"Reopened","Q-07","Temporary Fencing",list(c(-73.808531953953, -73.8085516679525, -73.8087010515403, -73.8086813400631, -73.808531953953, 40.7424048643102, 40.7423328743649, 40.742356536725, 40.7424285266996, 40.7424048643102)),"Athletic ",13.7142857142857
"Four Winds Playground-Handball-04","Kissena Park","Q024-03-HANDBALL-3","Q024",2020-04-02,2020-07-07,2020-08-12,"Reopened","Q-07","Temporary Fencing",list(c(-73.808531953953, -73.8086813400631, -73.8086614790111, -73.808512095116, -73.808531953953, 40.7424048643102, 40.7424285266996, 40.742501051324, 40.7424773880126, 40.7424048643102)),"Athletic ",13.7142857142857
"Rachel Carson Plgd-Handball-04","Kissena Corridor Park","Q300-05-HANDBALL-4","Q300",2020-04-02,2020-07-07,2020-08-12,"Reopened","Q-07","Temporary Fencing",list(c(-73.8222122928326, -73.822292957179, -73.8222173779282, -73.8221367124383, -73.8222122928326, 40.7487031934319, 40.7487849471596, 40.7488280774241, 40.7487463236422, 40.7487031934319)),"Athletic ",13.7142857142857
"Juniper Playground-Handball-10","Juniper Valley Park","Q102-02-HANDBALL-9","Q102",2020-04-04,2020-07-07,2020-08-12,"Reopened","Q-05","Fully Locked",list(c(-73.8769974027062, -73.8770219759949, -73.8769102294983, -73.8768907439739, -73.8769974027062, 40.7210395678283, 40.7211591116296, 40.7211718596098, 40.7210514090078, 40.7210395678283)),"Athletic ",13.4285714285714
"Juniper Playground-Handball-07","Juniper Valley Park","Q102-02-HANDBALL-8","Q102",2020-04-04,2020-07-07,2020-08-12,"Reopened","Q-05","Fully Locked",list(c(-73.8771825957327, -73.8772797572072, -73.8773008110938, -73.8772074793683, -73.8771825957327, 40.7210190060611, 40.7210091040937, 40.7211273032241, 40.7211379504139, 40.7210190060611)),"Athletic ",13.4285714285714
"Juniper Playground-Handball-05","Juniper Valley Park","Q102-02-HANDBALL-7","Q102",2020-04-04,2020-07-07,2020-08-12,"Reopened","Q-05","Fully Locked",list(c(-73.8769102294983, -73.8770219759949, -73.8770466593777, -73.8769350554441, -73.8769102294983, 40.7211718596098, 40.7211591116296, 40.7212799756895, 40.7212929696855, 40.7211718596098)),"Athletic ",13.4285714285714
"Juniper Playground-Handball-06","Juniper Valley Park","Q102-02-HANDBALL-6","Q102",2020-04-04,2020-07-07,2020-08-12,"Reopened","Q-05","Fully Locked",list(c(-73.8774103614152, -73.8773008110938, -73.8772797572072, -73.877389850963, -73.8774103614152, 40.7211148055699, 40.7211273032241, 40.7210091040937, 40.7209976993576, 40.7211148055699)),"Athletic ",13.4285714285714
"Baisley Pond Park-Handball-13","Baisley Pond Park","Q005-06-HANDBALL-8","Q005",2020-04-06,2020-07-07,2020-08-12,"Reopened","Q-12","Blocked with Barricade",list(c(-73.7872067113672, -73.7873814261681, -73.7874384361595, -73.7872659649303, -73.7872067113672, 40.6812112474466, 40.6811377766662, 40.6812154516186, 40.6812927015998, 40.6812112474466)),"Athletic ",13.1428571428571
"Lindower-Handball-03","Lindower Park","B329-01-HANDBALL-3","B329",2020-04-02,2020-07-06,2020-08-12,"Reopened","B-18","Temporary Fencing",list(c(-73.911960372041, -73.9119229044643, -73.9117686762775, -73.9118070367331, -73.911960372041, 40.6127606299983, 40.6128396950054, 40.6127957627481, 40.6127171685481, 40.6127606299983)),"Athletic ",13.5714285714286
"Emerson Plgd-Handball-03","Inwood Hill Park","M042-02-HANDBALL-8","M042",2020-04-10,2020-07-07,2020-08-12,"Reopened","M-12",NA,list(c(-73.9226603103301, -73.9225419388657, -73.9224816577191, -73.9225707783466, -73.9225999996295, -73.9226603103301, 40.8698280741902, 40.8699087164172, 40.8698578046206, 40.8697969977105, 40.8697770597791, 40.8698280741902)),"Athletic ",12.5714285714286
"Emerson Plgd-Handball-04","Inwood Hill Park","M042-02-HANDBALL-7","M042",2020-04-10,2020-07-07,2020-08-12,"Reopened","M-12",NA,list(c(-73.9227221190581, -73.9226936670945, -73.9226037475756, -73.9225419388657, -73.9226310380294, -73.9226603103301, -73.9227221190581, 40.8698803556597, 40.8698997394358, 40.8699609979493, 40.8699087164172, 40.8698480166048, 40.8698280741902, 40.8698803556597)),"Athletic ",12.5714285714286
"Sobelsohn Park-Handball-01","Forest Park","Q015-02-HANDBALL-2","Q015",2020-04-05,2020-07-07,2020-08-12,"Reopened","Q-16","Temporary Fencing",list(c(-73.8353140781099, -73.8353911191441, -73.8352739955204, -73.8351957837725, -73.8353140781099, 40.7097333133034, 40.7098023721377, 40.7098788616253, 40.7098104313961, 40.7097333133034)),"Athletic ",13.2857142857143
"Juniper Playground-Handball-08","Juniper Valley Park","Q102-02-HANDBALL-5","Q102",2020-04-04,2020-07-07,2020-08-12,"Reopened","Q-05","Fully Locked",list(c(-73.8770918008058, -73.8771825957327, -73.8772074793683, -73.877114972752, -73.8770918008058, 40.7210288868272, 40.7210190060611, 40.7211379504139, 40.7211485029546, 40.7210288868272)),"Athletic ",13.4285714285714
"Gerritsen Complex-Handball-05","Marine Park","B057-05-HANDBALL-8","B057",2020-04-02,2020-07-06,2020-08-12,"Reopened","B-18","Temporary Fencing",list(c(-73.9276523890022, -73.927532639062, -73.9274547314213, -73.9275788346697, -73.9276523890022, 40.5972470355002, 40.5973265545591, 40.5972583862564, 40.5971811411402, 40.5972470355002)),"Athletic ",13.5714285714286
"Rocco Torre-Handball-13","Marine Park","B057-04-HANDBALL-5","B057",2020-04-02,2020-07-06,2020-08-12,"Reopened","B-18","Fully Locked",list(c(-73.927007430523, -73.9270640013313, -73.9269449476425, -73.9268883768616, -73.927007430523, 40.6060158035038, 40.6060672745347, 40.6061432831295, 40.6060918120404, 40.6060158035038)),"Athletic ",13.5714285714286
"Rocco Torre-Handball-10","Marine Park","B057-04-HANDBALL-4","B057",2020-04-02,2020-07-06,2020-08-12,"Reopened","B-18","Fully Locked",list(c(-73.9271733084353, -73.9272339622962, -73.9271246551662, -73.9270640013313, -73.9271733084353, 40.6059974885517, 40.6060526740379, 40.6061224591777, 40.6060672745347, 40.6059974885517)),"Athletic ",13.5714285714286
"Merriam Plgd. (lower)-Handball-04","Merriam Playground","X153-02-HANDBALL-3","X153",2020-04-16,2020-07-06,2020-08-12,"Reopened","X-04","Temporary Fencing",list(c(-73.9262551866269, -73.9262161638547, -73.9260786207345, -73.9261184235221, -73.9262551866269, 40.8389987520402, 40.8390655311091, 40.8390191612659, 40.8389526330798, 40.8389987520402)),"Athletic ",11.5714285714286
"Albert H. Mauro Playground-Handball-10","Flushing Meadows Corona Park","Q099-20-HANDBALL-4","Q099",2020-04-08,2020-07-08,2020-08-12,"Reopened","Q-15","Temporary Fencing",list(c(-73.8273163657248, -73.8273567654117, -73.8272641056035, -73.8272219175949, -73.8273163657248, 40.7235791989773, 40.7236830083375, 40.7237030119929, 40.7235996501722, 40.7235791989773)),"Athletic ",13
"Captain Mario Fajardo Park-Handball-05","Kissena Corridor Park","Q300-04-HANDBALL-2","Q300",2020-04-02,2020-07-07,2020-08-12,"Reopened","Q-07","Temporary Fencing",list(c(-73.8144085801999, -73.814368522003, -73.8142847761962, -73.8142460806054, -73.8142393710047, -73.8142394963707, -73.8142799570206, -73.8144094170866, -73.8144085801999, 40.7435964218016, 40.7437150289961, 40.7436986785258, 40.74369112389, 40.7436898136342, 40.7436894383242, 40.7435688218872, 40.7435939422485, 40.7435964218016)),"Athletic ",13.7142857142857
"Rachel Haber Cohen Playground-Handball-04","Kolbert Playground","B150-01-HANDBALL-4","B150",2020-04-01,2020-07-01,2020-08-12,"Reopened","B-14","Fully Locked",list(c(-73.9577159138479, -73.9577900358574, -73.957698551546, -73.957624430718, -73.9577159138479, 40.6197062260474, 40.6197624259602, 40.619832069212, 40.619775869241, 40.6197062260474)),"Athletic ",13
"Rachel Haber Cohen Playground-Handball-01","Kolbert Playground","B150-01-HANDBALL-3","B150",2020-04-01,2020-07-01,2020-08-12,"Reopened","B-14","Fully Locked",list(c(-73.9579354828748, -73.9580269665344, -73.9581010909051, -73.9580096072457, -73.9579354828748, 40.6195373743402, 40.6194677317983, 40.6195239306122, 40.6195935732128, 40.6195373743402)),"Athletic ",13
"Rachel Haber Cohen Playground-Handball-02","Kolbert Playground","B150-01-HANDBALL-2","B150",2020-04-01,2020-07-01,2020-08-12,"Reopened","B-14","Fully Locked",list(c(-73.9579354828748, -73.9580096072457, -73.9579132914642, -73.9578391682733, -73.9579354828748, 40.6195373743402, 40.6195935732128, 40.6196681731379, 40.6196119742041, 40.6195373743402)),"Athletic ",13
"Calvert Vaux-Handball-01","Calvert Vaux Park","B125-01-HANDBALL-2","B125",2020-04-04,2020-07-05,2020-08-12,"Reopened","B-13","Temporary Fencing",list(c(-73.9907823260393, -73.990916505097, -73.9909821264294, -73.9908479484539, -73.9907823260393, 40.5874466952272, 40.5873826714975, 40.5874632095705, 40.5875272342769, 40.5874466952272)),"Athletic ",13.1428571428571
"Calvert Vaux-Handball-02","Calvert Vaux Park","B125-01-HANDBALL-1","B125",2020-04-04,2020-07-05,2020-08-12,"Reopened","B-13","Temporary Fencing",list(c(-73.990916505097, -73.9910531268049, -73.9911187446947, -73.9909821264294, -73.990916505097, 40.5873826714975, 40.5873175743772, 40.5873981105712, 40.5874632095705, 40.5873826714975)),"Athletic ",13.1428571428571
"Seth Low Plgd-Handball-04","Seth Low Playground/ Bealin Square","B100-01-HANDBALL-6","B100",2020-04-03,2020-07-07,2020-08-12,"Reopened","B-11","Blocked with Barricade",list(c(-73.98606824254, -73.9860851467672, -73.9859268171567, -73.9859126238824, -73.98606824254, 40.6075308203956, 40.6076131067047, 40.6076314994922, 40.6075481625835, 40.6075308203956)),"Athletic ",13.5714285714286
"Seth Low Plgd-Handball-01","Seth Low Playground/ Bealin Square","B100-01-HANDBALL-5","B100",2020-04-03,2020-07-07,2020-08-12,"Reopened","B-11","Blocked with Barricade",list(c(-73.9860851467672, -73.9862302917427, -73.9862466665681, -73.9861015214148, -73.9860851467672, 40.6076131067047, 40.6075970804922, 40.607680677873, 40.6076967041061, 40.6076131067047)),"Athletic ",13.5714285714286
"Seth Low Plgd-Handball-03","Seth Low Playground/ Bealin Square","B100-01-HANDBALL-4","B100",2020-04-03,2020-07-07,2020-08-12,"Reopened","B-11","Blocked with Barricade",list(c(-73.9859268171567, -73.9860851467672, -73.9861015214148, -73.9859431916107, -73.9859268171567, 40.6076314994922, 40.6076131067047, 40.6076967041061, 40.6077150960154, 40.6076314994922)),"Athletic ",13.5714285714286
"Dyker 14th Ave-Handball-16","Dyker Beach Park","B028-03-HANDBALL-4","B028",2020-04-02,2020-07-05,2020-08-12,"Reopened","B-10","Fully Locked",list(c(-74.0134037788779, -74.0133040348112, -74.0132193428115, -74.0133194509076, -74.0134037788779, 40.6126802625278, 40.6127782517159, 40.6127281429834, 40.6126302853021, 40.6126802625278)),"Athletic ",13.4285714285714
